epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,549.595,0.29213,0.96072,1,0.11348,0.000554909,0.000554909,0.000554909
2,1082.77,0.16804,0.97097,1,0.08524,0.00100063,0.00100063,0.00100063
3,1613.34,0.13797,0.97746,1,0.06881,0.00133633,0.00133633,0.00133633
4,2145.03,0.11986,0.98087,1,0.05839,0.0011719,0.0011719,0.0011719
5,2677.5,0.09839,0.97746,1,0.06892,0.00100687,0.00100687,0.00100687
6,3210.33,0.08817,0.98463,1,0.0477,0.000841835,0.000841835,0.000841835
7,3740.31,0.07733,0.98224,1,0.0587,0.000676802,0.000676802,0.000676802
8,4272.39,0.06886,0.98463,1,0.05237,0.000511769,0.000511769,0.000511769
9,4803.2,0.06039,0.98361,1,0.05059,0.000346736,0.000346736,0.000346736
10,5334.62,0.05572,0.98668,1,0.04112,0.000181703,0.000181703,0.000181703
